100	100																																																																																																			
1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0.5728572
1	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0.527213802
0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.255289895
1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0.80967094
1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0.754944231
0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0.708335819
0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0.821029214
1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0.333056369
1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0.488564775
1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0.981007945
0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0.944987055
